Zeit [s],Q_downhole [lpm]_s,Pint_downhole [MPa]
2618.373,0.060707571,0.13993
2618.423,0.059490277,0.139544
2618.473,0.060601697,0.140703
2618.523,0.059486979,0.139544
2618.573,0.060591708,0.139544
2618.623,0.059544015,0.138
2618.673,0.060643299,0.138772
2618.723,0.0596327,0.140703
2618.773,0.06074506,0.141089
2618.823,0.059749614,0.141089
2618.873,0.060890167,0.140703
2618.923,0.059895918,0.140703
2618.973,0.061077731,0.140317
2619.023,0.060105618,0.140703
2619.073,0.061349381,0.140703
2619.123,0.060373233,0.140317
2619.173,0.06168124,0.139544
2619.223,0.060671294,0.138386
2619.273,0.062056031,0.141089
2619.323,0.060999126,0.141089
2619.373,0.062460941,0.140703
2619.423,0.061356682,0.140703
2619.473,0.062863071,0.141089
2619.523,0.061754179,0.13993
2619.573,0.063303166,0.13993
2619.623,0.062219048,0.139158
2619.673,0.063776458,0.138386
2619.723,0.062707135,0.13993
2619.773,0.064269418,0.141475
2619.823,0.063203652,0.13993
2619.873,0.064774076,0.139544
2619.923,0.063684149,0.141475
2619.973,0.065200831,0.139544
2620.023,0.064124208,0.140317
2620.073,0.065582521,0.140317
2620.123,0.064618538,0.140703
2620.173,0.065942472,0.141089
2620.223,0.065107438,0.141089
2620.273,0.066272367,0.13993
2620.323,0.065560631,0.141089
2620.373,0.066568692,0.140317
2620.423,0.065936762,0.13993
2620.473,0.066732452,0.140317
2620.523,0.066224367,0.141475
2620.573,0.066803163,0.141475
2620.623,0.066508231,0.140317
2620.673,0.066803399,0.140703
2620.723,0.066747128,0.141089
2620.773,0.066729658,0.140317
2620.823,0.066933234,0.140317
2620.873,0.066598652,0.140317
2620.923,0.067058624,0.13993
2620.973,0.066360886,0.140703
2621.023,0.067082376,0.13993
2621.073,0.06606061,0.13993
2621.123,0.067074346,0.138
2621.173,0.065738385,0.140703
2621.223,0.067030742,0.14302
2621.273,0.065417716,0.140703
2621.323,0.066954846,0.140703
2621.373,0.065121225,0.142247
2621.423,0.066775197,0.141089
2621.473,0.064651663,0.140703
2621.523,0.066509868,0.139544
